#{"t_start": 1777151206.2661002, "env_id": "None"}
r,l,t
1758.083123,1369,17.186083
1755.492461,1206,25.114954
-198.930339,1948,43.29407
1789.485126,2131,57.788133
1627.306071,291,60.034802
1856.873377,1407,75.403237
-642.687086,741,81.99216
1862.089878,2872,157.575269
1781.178541,2736,179.814486
-424.733964,522,183.803441
1769.165871,1150,191.435091
1829.872393,1312,204.833563
1983.035853,2402,275.075184
1709.576847,466,281.589383
1740.864397,1506,293.366094
1826.876824,2930,318.002783
1956.104521,4214,355.779922
1752.99446,1141,418.293332
1931.961209,1988,431.216956
1923.579786,2373,450.311528
473.160999,7200,582.88109
1689.784499,607,587.036591
-742.227909,944,592.447545
-1016.163248,2186,612.201995
-418.268164,2418,630.649102
-595.787257,884,638.654149
1822.029308,1227,908.025907
1859.575734,1252,916.690305
1641.354815,291,918.878821
1914.96759,1539,935.165192
149.538196,7200,1124.978656
1690.26944,391,1128.254107
155.179519,7200,1193.338976
-147.45035,3152,1368.521713
-296.203187,7200,1425.213822
1699.332969,4629,1638.136939
-347.627457,3477,1666.66651
-84.163003,7200,1848.537698
1732.085,1374,1861.550354
68.79516,7200,2079.155682
-328.485438,1322,2092.121606
-1002.595228,2234,2109.540467
1746.445263,387,2112.444429
1961.40461,2226,2132.284626
80.581573,7200,2361.190227
-197.055395,7200,2559.632823
-113.489001,7200,2820.892646
-612.774335,7200,2881.838299
1747.967081,382,2884.913001
