#{"t_start": 1777040678.0548058, "env_id": "None"}
r,l,t
-249.431676,526,15.194056
-223.287398,331,18.572839
-86.595696,371,21.583254
-105.165485,384,24.844353
1004.630033,10,24.954676
1083.711123,333,28.222501
-249.088414,451,32.035707
-262.098706,384,34.977176
40.45232,295,37.510749
-243.792403,387,39.641577
-310.227733,448,42.812278
1004.603886,10,42.945766
-116.493319,380,53.024019
-62.745202,299,55.550972
1004.767501,10,55.648964
28.324197,378,58.616053
-438.206502,663,63.531339
1096.641334,481,66.442436
-212.567623,490,70.469683
-18.493178,400,73.531156
-156.96375,282,75.997289
1004.624571,10,76.087395
-105.872049,450,80.450219
1004.540235,10,80.565691
44.166603,431,89.600963
-432.492388,659,95.204474
-176.358349,348,96.784869
-572.185432,757,102.367671
1121.70527,416,118.469095
-154.641456,418,121.750881
77.465217,489,125.150024
-307.527771,442,129.321187
1004.829318,10,129.444803
33.977591,368,132.802744
-76.357626,353,143.063699
-258.615935,378,147.928657
1084.276469,384,153.360913
65.527788,434,162.244648
28.651839,403,169.317275
81.457769,481,177.742173
-177.838199,304,183.07073
1096.122425,379,188.508994
-204.117972,328,194.514525
-352.647813,661,207.357872
1004.801429,10,207.547611
1004.783326,10,207.773965
-257.715323,381,221.773373
-559.510874,801,234.763069
-107.528636,314,239.693956
-513.828073,767,250.143319
-415.45462,749,261.730884
1004.707741,10,261.975305
21.27937,379,267.522748
1102.41139,259,271.191303
-12.153372,376,318.505071
35.135328,368,331.833464
-161.19639,529,341.308621
-190.008318,477,349.388887
-34.502766,275,354.036098
47.824573,329,358.319457
47.460499,373,363.594826
1033.998684,76,364.76061
-400.204631,622,373.709147
-181.19164,321,378.253004
25.202528,356,383.672452
-417.001465,706,400.998899
-83.290778,345,405.983238
-430.250801,710,415.191412
1095.231243,247,419.495397
-152.655093,313,424.829945
1.694162,390,430.907209
1004.83074,10,431.062817
65.623263,387,436.989506
44.462213,399,442.699911
1004.772613,10,442.915139
1004.77683,10,443.120138
-197.332712,524,449.961377
1004.698411,10,450.20751
1100.347136,252,455.162534
1004.616288,10,455.380202
-296.287682,445,469.239233
1125.811721,460,475.17067
1128.155643,470,482.01736
-216.844792,544,540.579561
141.224563,898,554.342155
-198.750747,340,559.736027
1004.567114,10,559.922101
-326.161542,467,565.472135
-32.412541,363,570.676468
1004.559832,10,570.845206
-71.171428,333,575.655331
1004.803739,10,575.820899
-332.291679,599,591.177792
1117.346217,336,596.366431
-669.110042,850,609.642879
22.57371,439,616.684748
58.655744,460,623.388951
-167.306179,362,628.996155
-49.978185,472,635.97807
-129.668398,286,640.287123
1103.900419,351,645.972336
-6.65739,456,660.285493
1004.825742,10,660.514788
-590.486664,766,672.577286
-729.455499,947,687.130987
-15.04343,375,693.08758
44.133453,809,750.645934
-161.904215,517,759.160157
-65.069978,414,773.373898
-320.66059,458,780.621807
-490.286738,794,792.552043
-259.398603,393,798.972346
-425.366704,757,812.785676
-90.606142,480,821.540038
1004.621565,10,821.755676
-25.196993,385,827.564452
1004.827581,10,827.820828
-343.060828,647,844.72709
-124.153793,280,847.017536
-91.342109,469,850.415558
-334.745459,463,854.815552
1004.716423,10,854.972322
1099.934696,397,858.425416
-74.575141,280,861.260754
-766.658712,1011,870.242488
150.882777,1062,879.077329
-36.00481,413,886.495045
-37.289285,532,891.804157
1004.769507,10,891.942285
-3.468074,504,913.728899
72.783535,398,916.644573
-100.826397,451,920.241053
68.425077,419,923.565758
1135.087599,464,927.300863
-3.249648,532,931.654218
1036.740401,83,932.327712
-24.166871,456,938.699452
-131.784085,358,941.346348
-160.023492,513,945.827659
53.246966,545,951.178017
1004.699554,10,951.298921
45.010188,421,954.686494
-701.729072,1003,963.421414
-10.826993,434,966.394263
7.008318,452,970.731076
-496.138104,905,983.598571
-29.530606,425,988.902211
13.283044,437,993.801083
-358.852773,762,999.565908
-70.849466,389,1002.562406
-33.474426,663,1034.276796
-16.940744,307,1036.846691
87.730028,436,1040.291348
-189.401004,313,1046.394664
-40.076725,332,1048.906447
1120.459779,481,1052.818451
-207.033761,331,1054.407052
19.586338,440,1057.827593
1004.80394,10,1057.951327
-175.235514,425,1061.316327
-31.828483,367,1064.198647
50.106893,369,1067.019367
1105.483109,267,1069.194459
1004.83415,10,1069.294527
23.048795,583,1074.121688
-836.108298,1200,1087.415771
1124.424649,336,1090.282559
1004.777633,10,1090.397394
1004.749986,10,1090.618519
-677.12167,1106,1099.911992
-28.039972,334,1102.531085
1175.098158,489,1106.278631
-164.102654,636,1111.536459
1115.695758,290,1116.917453
22.71743,518,1151.384506
111.780654,1200,1160.595873
1004.781348,10,1160.710488
-115.888123,389,1163.945513
-12.270454,949,1170.554469
1140.6747,530,1174.569129
