#{"t_start": 1777070680.1944704, "env_id": "None"}
r,l,t
553.857946,509,8.967823
433.303628,555,13.257186
995.013441,850,18.994158
987.8237,959,26.220835
907.839431,738,30.885127
624.801655,654,38.262446
634.698369,774,43.581408
1221.123778,867,49.40648
806.650257,698,54.486735
1295.153242,1154,61.968552
581.713153,524,68.217268
551.948226,550,72.301778
550.058137,499,75.876744
660.899743,618,80.392501
581.971339,508,114.022659
603.200091,644,117.608408
540.841035,542,121.48977
728.733662,538,125.70621
426.00266,399,132.490068
538.803925,482,137.188324
525.33113,530,141.361836
522.000869,397,144.88789
559.132622,431,147.373538
487.13938,406,150.420764
716.527823,642,155.1818
652.117864,538,159.59396
514.692554,470,167.495714
558.781726,451,173.21856
569.830127,431,176.728372
557.83782,577,186.687469
428.394832,492,195.67798
530.410876,493,202.316769
482.713329,406,208.336178
468.461129,447,215.525594
480.491923,522,275.113716
405.030439,328,285.226631
566.754832,426,290.108393
506.327763,418,296.148538
947.304016,815,307.791421
404.02841,356,312.861037
532.496839,399,318.369344
391.467354,327,322.362187
492.590593,351,327.348388
503.688414,433,333.211173
413.624815,388,338.643047
462.387961,405,348.782485
409.574882,361,353.828304
500.903871,406,359.303069
461.398058,359,364.776177
464.153563,386,370.36408
485.590113,357,375.236476
494.758911,446,380.369304
478.148001,440,386.742521
431.826799,363,392.170585
461.501676,379,397.424951
418.90369,362,407.035302
307.732788,367,412.1704
459.857936,357,417.129345
280.489495,314,421.323574
556.858003,429,483.740663
525.984475,466,490.621546
507.228497,462,496.584563
400.522558,400,503.122689
375.062909,334,507.872114
415.056666,315,512.413378
791.045906,476,520.28923
452.332843,363,530.731604
858.310228,629,539.580854
398.212228,386,545.099203
344.327983,391,549.640198
524.673699,422,555.846184
538.686485,414,561.690211
462.84602,401,567.462338
689.032287,486,574.773883
426.935558,438,580.223386
427.757435,383,592.845244
431.701704,397,598.363854
496.554117,380,603.815353
563.262172,408,608.665479
490.82691,442,615.111938
612.408375,456,621.640342
388.022081,416,628.37707
753.062655,561,690.154037
490.792488,353,694.337975
471.513286,397,699.896775
404.863128,344,711.269654
650.729221,463,718.47376
637.47368,501,724.626212
451.198468,385,731.18741
411.915608,393,737.659111
464.361327,414,744.03016
433.423303,473,750.471046
434.608574,385,754.984874
439.274985,465,761.768975
434.969832,393,773.933952
518.275497,473,780.5083
394.216847,358,785.287968
474.688464,344,790.492195
448.749852,418,796.808231
556.955455,536,804.379553
576.164925,486,810.252403
315.684634,391,815.640662
565.99629,501,822.617177
481.816234,458,828.956223
600.625804,495,841.123935
483.248382,487,904.938647
665.106929,732,916.132102
742.752248,737,925.511055
536.396154,426,931.49689
