#{"t_start": 1775333867.6537964, "env_id": "None"}
r,l,t
908.412181,748,5.060787
1829.666912,1544,10.176897
922.154175,856,13.072591
1217.377759,1250,20.229207
893.799617,775,22.911213
2055.855729,2663,31.370487
1083.857639,962,37.290586
1532.090782,3377,94.3016
2679.498578,3539,108.368651
1181.152045,2240,118.212849
1979.040021,4071,229.920607
1496.696092,2586,262.331619
827.532768,674,269.788017
973.345663,2612,297.712198
1510.264412,2262,449.107738
1162.72794,2347,474.220633
2153.753405,3693,517.731703
901.690459,914,532.102844
1742.052397,6284,652.898351
724.751274,636,655.854809
1748.352266,3080,671.097586
1272.262486,2032,680.327757
826.602938,1323,742.232936
2754.157529,3284,778.706521
602.390331,558,783.617382
1669.106999,1271,798.612112
1691.742226,1353,813.148022
1009.679953,1641,835.321257
3679.580031,3271,917.290045
1673.093098,1464,933.148502
1524.596403,1198,945.985787
688.032525,551,951.614598
1883.738355,1699,971.986837
1413.019453,2151,992.007471
2167.969801,1860,1046.049667
1056.448408,1667,1061.955016
534.352344,514,1066.921508
1252.542585,981,1078.837277
1061.280513,1892,1097.481696
1420.62407,1076,1107.800352
1817.37167,1847,1129.246543
964.630501,1983,1182.195725
693.606961,618,1186.991928
1096.302443,1128,1202.515565
1265.421735,1197,1214.152604
1376.086444,1207,1227.131026
808.860566,727,1234.669227
1176.66554,1157,1249.170202
1225.999473,2772,1276.607705
742.09568,667,1317.87216
1318.726092,3998,1357.323985
1195.12298,1127,1371.468971
1034.620862,1154,1383.284502
629.736512,603,1388.349867
825.076348,999,1398.573936
855.459146,4137,1473.645755
907.604498,2217,1499.874783
783.712962,3652,1538.992725
877.997404,2318,1587.572945
1007.66589,2051,1611.999975
1158.148377,1581,1627.809783
1016.881414,2197,1655.178121
1734.216715,8517,1835.00068
3783.988772,10439,2130.058722
1103.908911,2118,2150.111439
3407.24447,6490,2404.712865
1903.276001,2122,2426.519862
1214.156607,4383,2627.921262
862.261192,757,2635.9116
1143.640593,2430,2663.229582
722.68947,661,2669.179346
1792.693687,2306,2696.484392
1215.218702,2348,2719.549915
1423.597,2900,2945.715789
3255.81772,4088,2993.153657
982.654038,2420,3023.788114
814.567671,863,3032.356316
1007.480522,1681,3289.642245
969.313084,1500,3309.603247
1337.93698,6433,3386.529528
784.35363,658,3393.504012
4242.191736,4251,3674.13271
716.854604,670,3681.658966
1647.488659,2432,3717.294719
2666.577902,3855,3958.099806
719.464135,695,3966.371359
1150.378604,4118,4018.735705
953.028325,1104,4030.863889
1892.26916,4411,4316.069436
1447.530985,2237,4341.208972
1226.929716,1657,4359.957851
928.57541,1225,4378.419448
3537.51836,12349,4995.149683
3710.830576,14400,6267.959858
2114.320289,2036,6300.133117
3496.227248,7920,6810.080393
1669.507367,2445,6840.278604
5314.176264,14400,7540.891861
1150.073496,4327,8043.830502
1114.333906,2085,8065.454229
874.262431,3905,8106.528129
1666.526961,14400,9083.700502
1222.25325,2061,9103.094726
1523.482888,5014,9527.877262
1697.647736,14400,10307.666237
5724.42646,14400,11628.539168
4498.893242,3499,11671.248831
2516.966898,3987,11709.106309
2653.070181,2605,12373.657431
1809.655199,3484,12413.772641
2200.852871,2872,12448.684876
10799.998646,14400,13674.02303
2004.442591,2267,13683.052364
20103.854153,14400,14156.619835
23784.10146,14400,14960.724664
22828.441466,14400,15291.630372
25145.501594,14400,16088.65758
23939.287649,14400,16542.63136
4053.217329,14400,16997.671966
3861.446513,3491,17371.978128
18245.581631,14400,17848.874791
5323.330718,6730,18322.405108
