#{"t_start": 1777042428.514485, "env_id": "None"}
r,l,t
-1979.245631,947,10.158008
-930.762261,853,16.035793
1004.669453,10,16.13878
-1591.143906,943,22.723367
-853.587365,873,29.113316
-1164.79857,1036,39.900024
-2259.518947,1078,47.449812
-1195.435777,812,53.689884
-1045.412441,760,58.719982
-1632.02314,886,68.761852
1004.795859,10,68.85056
-1227.284075,704,73.72595
-1085.977681,950,80.68408
-2482.152109,1121,112.599354
1100.90207,297,114.57753
-1807.600988,1162,125.710878
-1671.826189,939,132.56149
-1214.038614,830,138.249498
1112.440798,331,140.688927
-1560.927581,757,145.057964
-1308.120918,821,150.810247
-1226.631067,774,159.0593
-1071.796369,777,164.61154
-2606.54971,1200,172.888271
1098.594182,383,174.741308
-1441.01296,610,179.193142
-1346.159819,850,221.546067
-1756.768932,1055,228.998916
-1299.653595,667,232.975232
-1068.306941,623,237.558331
-1486.871089,652,242.757718
-1636.452692,1061,255.782102
-1981.102857,1200,263.960887
-1163.3685,817,270.06608
-2438.110131,1030,277.949691
-1567.928778,1026,289.818767
267.98573,872,295.547773
-95.990585,977,329.18387
-1388.512519,721,334.691006
1004.831578,10,334.787604
-1258.896776,1200,343.724132
1004.72863,10,343.829937
1004.829889,10,343.92879
-1418.31082,692,351.230848
350.129665,885,357.516667
-274.658934,338,360.070954
-1171.646322,836,366.22356
-1367.604803,1007,373.627787
-1102.914212,800,382.076671
1004.63684,10,382.194674
1004.823317,10,382.327275
1067.028202,153,383.616474
1031.317878,766,389.71899
1004.581944,10,389.828714
1093.638881,222,391.615189
-1928.024333,1200,400.65409
-2400.860564,1138,442.196313
-1741.213837,1200,456.244529
1004.796565,10,456.359397
-741.838249,450,459.82832
-293.476326,305,462.133863
1140.627648,422,464.486552
-1645.115767,823,470.922754
-1420.314868,1048,478.891438
-2701.066467,1200,491.382312
-324.717811,1065,498.673651
-1435.588687,711,504.163671
1004.769411,10,504.27187
1112.983619,260,506.315269
-1812.429394,1200,519.954369
531.719914,932,559.191349
-1533.261322,989,566.599275
-1886.687898,745,572.387536
-2450.549561,865,579.193759
-1658.963243,834,588.662978
-1492.869919,1042,596.811429
1004.514132,10,596.90969
-1090.784614,1200,606.298494
1172.482126,545,609.596647
1004.641587,10,609.712022
1119.386516,278,611.857903
1001.088448,701,620.370024
-2133.360229,1164,629.347728
-2808.206839,1200,638.55971
1004.682109,10,638.659965
-1956.574536,1100,681.167392
-1145.841558,899,692.256307
-1761.106076,811,697.440042
-1468.865929,1200,706.527469
-1627.697453,733,712.745045
-700.797877,445,716.610547
1087.270422,1131,728.2275
-1644.408419,1200,737.390106
480.166082,1022,745.165832
140.268381,1086,753.247262
1004.834174,10,753.382081
-1418.110042,1200,802.726795
-1451.622483,941,810.128331
320.814073,977,816.781652
