#{"t_start": 1777066959.119283, "env_id": "None"}
r,l,t
-1079.154765,7200,64.661803
-437.527089,7200,287.750784
-877.235795,7164,562.491075
-784.454328,7200,620.121387
-1102.107703,7200,836.798615
1413.237948,5841,1048.637707
-609.45748,7200,1101.735669
-1375.098588,7200,1319.383373
2165.808292,4475,1551.308155
-599.468022,7200,1607.846681
792.909639,7200,1901.909247
-1293.45815,7200,2149.512877
-498.455711,7200,2201.320812
1432.067403,1815,2541.691378
-72.022616,7200,2602.546318
-1035.789047,7200,2852.308613
711.228853,7200,3127.803988
